MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062
1.0,1.0,1991.0,101.0,2020.0,0,0,1,0.0,6,6,32.7,54.4,5.0,2.0,27.4,146.3,9.1,9.8,7,7,6,5,N
1.0,1.0,1993.0,101.0,2020.0,0,0,1,0.0,7,6,32.7,44.4,5.0,2.0,22.9,53.3,9.1,9.8,8,7,7,6,N
1.0,1.0,2003.0,173.0,2020.0,0,6,1,0.0,7,5,32.7,54.4,1.0,19.0,3.0,9.4,8.1,16.5,N,N,N,7,7
1.0,1.0,1990.0,157.0,2020.0,0,6,1,0.0,6,5,24.5,32.7,1.0,19.0,3.0,9.4,8.4,9.1,N,N,N,6,7
1.0,1.0,1966.0,384.0,2020.0,0,6,1,0.0,6,5,24.5,32.7,1.0,1.0,7.6,7.6,8.0,8.6,7,7,6,6,N
1.0,1.0,2003.0,384.0,2020.0,0,0,2,0.0,7,6,32.7,54.4,5.0,2.0,29.0,29.0,8.9,9.8,8,7,7,6,N
1.0,1.0,2007.0,234.0,2020.0,0,0,1,0.0,7,6,32.7,54.4,5.0,2.0,24.4,24.4,8.9,9.8,8,8,7,7,N
1.0,1.0,1954.0,194.0,2020.0,N,N,N,0.0,6,N,23.6,39.9,1.0,19.0,2.4,10.7,0.0,0.0,N,N,N,5,7
1.0,1.0,1954.0,333.0,2020.0,N,N,N,0.0,5,5,24.5,32.7,1.0,19.0,3.0,6.7,8.0,10.8,N,N,N,6,5
1.0,1.0,1963.0,333.0,2020.0,N,N,N,2018.0,6,N,24.5,32.7,1.0,19.0,3.0,10.1,0.0,0.0,N,N,N,7,6
1.0,1.0,1963.0,333.0,2020.0,N,N,N,2019.0,6,N,24.5,32.7,1.0,19.0,3.0,6.7,0.0,0.0,N,N,N,8,7
1.0,1.0,1980.0,1480.0,2020.0,0,0,1,0.0,6,4,36.3,60.8,1.0,2.0,9.1,46.3,7.9,8.6,6,7,6,7,N
1.0,1.0,1980.0,2165.0,2020.0,0,6,1,0.0,6,4,23.6,39.9,1.0,19.0,3.0,10.1,10.2,12.9,N,N,N,6,7
1.0,1.0,1980.0,2165.0,2020.0,0,6,1,0.0,4,5,36.3,59.9,1.0,2.0,9.1,27.7,10.4,11.1,7,6,4,4,N
1.0,1.0,1985.0,1480.0,2020.0,0,0,1,0.0,5,5,37.2,62.6,1.0,2.0,9.1,46.3,8.5,9.3,7,7,5,4,N
1.0,1.0,1996.0,1480.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,2.7,9.8,0.0,0.0,N,N,N,6,7
